Asset or serial number,Model Number,Condition,Years of service left ,Initial value,Down payment,Date purchased or leased,Loan term in years,Loan rate,Monthly payment,Monthly operating costs,Total monthly cost,Expected value at end of loan term,Annual straight line depreciation,Monthly straight line depreciation,Current value
12778688.39,CG35O23D42H79,Poor,41,700000,140000,41739,40,0.002715147,1231.298484,2462.596967,3693.895451,210000,12250,1020.833333,613891.621
7796116200,VU22M25G48M99,Excellent,43,900000,180000,37327,55,0.089432431,5406.181473,10812.36295,16218.54442,270000,11454.54545,954.5454545,681024.2946
5282748114,WC98F19S57W43,Excellent,39,800000,160000,35364,20,0.088443837,5694.349606,11388.69921,17083.04882,240000,28000,2333.333333,114139.7522
3120387463,HM79W59Z81A65,Good,20,900000,180000,34357,35,0.084853221,5369.604015,10739.20803,16108.81204,270000,18000,1500,409429.5667
3930735638,FS21P59R98Q71,Good,33,700000,140000,31098,15,0.029079622,3842.516956,7685.033912,11527.55087,210000,32666.66667,2722.222222,-481967.5494
3592866038,XL36K55E23V56,Good,26,900000,180000,30456,30,0.002763123,2084.268914,4168.537827,6252.806741,270000,21000,1750,103226.7319
7003260719,VI79A21M74Q14,Excellent,40,600000,120000,35705,20,0.052241007,3227.511142,6455.022284,9682.533425,180000,21000,1750,105223.9922
3542218066,WE34X95T98V14,Good,12,400000,80000,31845,40,0.089204484,2448.776884,4897.553768,7346.330651,120000,7000,583.3333333,161047.2668
2627998769,KD38N32Y50B85,Good,12,900000,180000,40564,10,0.085996123,8965.373563,17930.74713,26896.12069,270000,63000,5250,254348.6889
556282156.5,UV86O79E18L21,Good,45,400000,80000,25719,30,0.054559385,1808.088345,3616.17669,5424.265035,120000,9333.333333,777.7777778,-75250.2196
6730847259,ZJ11S63O34M57,Excellent,38,400000,80000,38346,10,0.087611529,4012.376417,8024.752835,12037.12925,120000,28000,2333.333333,-57104.08346
5189374228,PX70O45V55S49,Excellent,46,100000,20000,33692,35,0.008580869,220.5762454,441.1524907,661.7287361,30000,2000,166.6666667,41848.33846
7455814850,TH96P70R20S87,Excellent,39,800000,160000,30475,25,0.06369039,4269.099548,8538.199096,12807.29864,240000,22400,1866.666667,-48725.45855
2552004522,DV32U85F36I10,Good,46,300000,60000,28751,45,0.099472664,2012.776549,4025.553098,6038.329647,90000,4666.666667,388.8888889,101140.187
